Link,Story_Line,Summary_Story_Line,Human_Edited
https://www.imdb.com/title/tt6468322/,"To carry out the biggest heist in history, a mysterious man called The Professor recruits a band of eight robbers who have a single characteristic: none of them has anything to lose. Five months of seclusion memorizing every step, every detail, every probability culminate in eleven days locked up in the National Coinage and Stamp Factory of Spain, surrounded by police forces and with dozens of hostages in their power, to find out whether their suicide wager will lead to everything or nothing.",A daring heist in the vaults of one of the world's biggest coinage companies is set to go wrong.,
https://www.imdb.com/title/tt2788432/,"A drama series that examines infamous historical American crimes. In Season 1, ""The People vs OJ Simpson"", we follow the OJ Simpson murder trial of 1994-95. Season 2, ""The Assassination of Gianni Versace"", covers the murder of fashion designer Gianni Versace in 1997.",A drama series that examines infamous historical American crimes.,
https://www.imdb.com/title/tt2741602/,"A highly articulate, erudite and intelligent businessman and mastermind, ""Red"" Reddington, has allegedly been on the ""10 Most Wanted List"" of various U.S. law enforcement agencies for over 20 years. The legend is that Red is as elusive as he is clever, controlling a labyrinth of creative enterprises, coupled with uncanny ability to gather and finesse information at the drop of a hat. On the first day at FBI for a new female profiler fresh out of Quantico, Red offers to bandy wits with the FBI. Red promises to deliver various criminals and plots previously unknown to any branch of law enforcement... and all Red requests in return is to choose his muse.",One of the FBI's most sought-after fugitives is back on the loose.,
https://www.imdb.com/title/tt7908628/,"A look into the daily (or rather, nightly) lives of three vampires, who've lived together for over 100 years, on Staten Island.",Meet the Staten Island Vampires.,
https://www.imdb.com/title/tt1502407/,"Jamie Lee Curtis returns to her iconic role as Laurie Strode, who comes to her final confrontation with Michael Myers (Nick Castle and James Jude Courtney), the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago.","A new trailer has been released for Halloween, the sequel to the 1978 horror classic.",
https://www.imdb.com/title/tt2442560/,"Thomas Shelby and his brothers return to Birmingham after serving in the British Army during WWI. Shelby and the Peaky Blinders, the gang he is leader of, control the city of Birmingham But as Shelby's ambitions extend beyond Birmingham, he plans to build on the business empire he's created, and stop anyone who gets in his way.",BBC One's Peaky Blinders tells the story of one of Britain's most notorious gangsters.,
https://www.imdb.com/title/tt1043813/,"Titans follows young heroes from across the DC Universe as they come of age and find belonging in a gritty take on the classic Teen Titans franchise. Dick Grayson and Rachel Roth, a special young girl possessed by a strange darkness, get embroiled in a conspiracy that could bring Hell on Earth. Joining them along the way are the hot-headed Starfire and lovable Beast Boy. Together they become a surrogate family and team of heroes.",All images are copyrighted.,
https://www.imdb.com/title/tt1586680/,"Watch the Irish American family the Gallaghers dealing with their alcoholic father Frank. Fiona, the eldest daughter, takes the role of the parent to her five brothers and sisters. Lip, Ian, Debbie, Carl, and Liam deal with life on the South Side of Chicago. Fiona balances her sex life and raising her siblings. Every episode is another crazy situation that one or more of the Gallagher six get into. Watch them grow and learn how to make their way in life with what little they have.",The Gallaghers are a family of six living in Chicago.,
https://www.imdb.com/title/tt1270797/,"After a faulty interview with the Life Foundation ruins his career, former reporter Eddie Brock's life is in pieces. Six months later, he comes across the Life Foundation again, and he comes into contact with an alien symbiote and becomes Venom, a parasitic antihero.","Director: Ruben Fleischer Writers: Ruben Fleischer, Ruben Fleischer",
https://www.imdb.com/title/tt2261391/,"The story of firefighters and paramedics in the city of Chicago, both on a personal and professional level.",All photographs courtesy of the Chicago Fire Department.,
https://www.imdb.com/title/tt1074638/,"When James Bond's (Daniel Craig's) latest assignment goes gravely wrong and Agents around the world are exposed, MI6 is attacked, forcing (M Dame Judi Dench) to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory (Ralph Fiennes), the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows, aided only by field agent, Miss Eve Moneypenny (Naomie Harris), following a trail to the mysterious Tiago Rodriguez, a.k.a. Raoul Silva (Javier Bardem), whose lethal and hidden motives have yet to reveal themselves.","James Bond returns to the big screen in Spectre, the 24th film in the series.",
https://www.imdb.com/title/tt4270492/,"Billions is a complex drama about power politics in the world of New York high finance. Shrewd, savvy U.S. Attorney Chuck Rhoades and the brilliant, ambitious hedge fund king Bobby ""Axe"" Axelrod are on an explosive collision course, with each using all of his considerable smarts, power and influence to outmaneuver the other. The stakes are in the billions in this timely, provocative series.",Billions is a complex drama about power politics in the world of New York high finance.,
https://www.imdb.com/title/tt4574334/,"In a small town where everyone knows everyone, a peculiar incident starts a chain of events that leads to the disappearance of a child, which begins to tear at the fabric of an otherwise peaceful community. Dark government agencies and seemingly malevolent supernatural forces converge on the town, while a few of the locals begin to understand that there's more going on than meets the eye.",A psychological horror set in a small town in the United States.,
https://www.imdb.com/title/tt4236770/,"Yellowstone follows the Dutton family, led by John Dutton, who controls the largest contiguous ranch in the United States, under constant attack by those it borders - land developers, an Indian reservation, and America's first National Park. It is an intense study of a violent world far from media scrutiny - where land grabs make developers billions, and politicians are bought and sold by the world's largest oil and lumber corporations. Where drinking water poisoned by fracking wells and unsolved murders are not news: they are a consequence of living in the new frontier. It is the best and worst of America seen through the eyes of a family that represents both.",The story of one of America's richest and most controversial families is told through the eyes of its patriarch.,
https://www.imdb.com/title/tt8369840/,"Set in the future, an anomaly from space appears in Earth's orbit and plants a stalk-like object into the ground. Humans attempt to determine what it is, why it's been placed there, and what's going to happen next, but it's taking too long to crack the code so they send a team into space to the source of the object to investigate further.","Watch the trailer for the new sci-fi video game, The Elder Scrolls V: Skyrim.",
https://www.imdb.com/title/tt6763664/,"Explores a group of siblings who, as children, grew up in what would go on to become the most famous haunted house in the country. Now adults, and forced back together in the face of tragedy, the family must finally confront the ghosts of their past, some of which still lurk in their minds while others may actually be stalking the shadows of Hill House.",The Haunting of Hill House is a horror film based on the true story of the famous haunted house in Connecticut.,
https://www.imdb.com/title/tt6048596/,"The Sinner follows a young mother who, when overcome by an inexplicable fit of rage, commits a startling act of violence and to her horror has no idea why. The event launches an inverted and utterly surprising crime thriller whose driving force is not the ""who"" or the ""what"" -- but the ""why"" -- as an investigator finds himself obsessed with uncovering the woman's buried motive. Together they travel a harrowing journey into the depths of her psyche and the violent secrets hidden in her past.","A psychological thriller set in Sinner, a small town in Sinner, a small town in Sinner, a small town in Sinner, a small town in Sinner, a small town in Sinner, a small town in Sinner, a small town in Sinner, a small town in Sinner, a small town in Sinner, a",
https://www.imdb.com/title/tt1190634/,"The Boys is set in a universe in which superpowered people are recognized as heroes by the general public and owned by a powerful corporation, Vought International, which ensures that they are aggressively marketed and monetized. Outside of their heroic personas, most are arrogant and corrupt. The series primarily focuses on two groups: the titular Boys, vigilantes looking to keep the corrupted heroes under control, and the Seven, Vought International's premier superhero team. The Boys are led by Billy Butcher, who despises all superpowered people, and the Seven are led by the egotistical and unstable Homelander. As a conflict ensues between the two groups, the series also follows the new members of each team: Hugh ""Hughie"" Campbell of the Boys, who joins the vigilantes after his girlfriend is killed in a high-speed collision by the Seven's A-Train, and Annie January/Starlight of the Seven, a young and hopeful heroine forced to face the truth about the heroes she admires.",The Boys is a drama series written and executive-produced by Joss Whedon.,
https://www.imdb.com/title/tt4687880/,"Billy Mcbride is going through a rough patch. He has been fired from the law firm he helped build, his wife has left him, and he's now a down on his luck ambulance chaser. A lady (Patty) approaches him to represent her in a wrongful death case. After reluctantly accepting to take on the case, a series of strange events befall Billy. Through death threats, harassment, and trumped up arrests, Billy embarks on obtaining justice, and it is one hell of a ride. Additional unique cases eventually come Billy and Patty's way, making the ride even more entertaining.",One hell of a ride.,
https://www.imdb.com/title/tt8416494/,"A re-imagining of one of DC's most beloved group of outcast Super Heroes: Robotman, Negative Man, Elasti-Girl and Crazy Jane, led by modern-day mad scientist Dr. Niles Caulder (The Chief). The Doom Patrol's members each suffered horrible accidents that gave them superhuman abilities - but also left them scarred and disfigured. Traumatized and downtrodden, the team found purpose through The Chief, who brought them together to investigate the weirdest phenomena in existence - and to protect Earth from what they find. Part support group, part Super Hero team, the Doom Patrol is a band of super-powered freaks who fight for a world that wants nothing to do with them. Picking up after the events of Titans, Doom Patrol will find these reluctant heroes in a place they never expected to be, called to action by none other than Cyborg, who comes to them with a mission hard to refuse, but with a warning that is hard to ignore: their lives will never, ever be the same.",The first trailer for DC's Doom Patrol has been released.,
https://www.imdb.com/title/tt1606375/,"Lord Robert Crawley, Earl of Grantham (Hugh Bonneville) sees his family heritage, especially the grand country home Downton Abbey, as his mission in life. The death of his heir aboard R.M.S. Titanic means distant cousin Matthew Crawley (Dan Stevens), a Manchester lawyer, suddenly is next in line and accepts moving onto the vast estate with his even more modernist, socially engaged mother, who clashes with his Lordship's domineering, conservative mother, the dowager countess. Marrying off the daughters is another concern. Meanwhile, the butler presides over a staff which serves the family, but also lead most of their entire lives in the servants' quarters, intriguing amongst themselves.",A period drama set in the early 20th Century.,
https://www.imdb.com/title/tt6470478/,"Shaun Murphy, a young surgeon with autism and savant syndrome, relocates from a quiet country life to join a prestigious hospital surgical unit. Alone in the world and unable to personally connect with those around him, Shaun uses his extraordinary medical gifts to save lives and challenge the skepticism of his colleagues.",A young surgeon with autism and savant syndrome relocates from a quiet country life to join a prestigious hospital surgical unit.,
https://www.imdb.com/title/tt2467372/,"Captain Ray Holt takes over Brooklyn's 99th precinct, which includes Detective Jake Peralta, a talented but carefree detective who's used to doing whatever he wants. The other employees of the 99th precinct include Detective Amy Santiago, Jake's over achieving and competitive partner; Detective Rosa Diaz, a tough and kept to herself coworker; Detective Charles Boyle, Jake's best friend who also has crush on Rosa; Detective Sergeant Terry Jeffords, who was recently taken off the field after the birth of his twin girls; and Gina Linetti, the precinct's sarcastic administrator.",New York City's Finest is a police drama set in the Big Apple.,
https://www.imdb.com/title/tt7587890/,"The series follows John Nolan, a 40-year-old man who moves from his comfortable, small-town life to Los Angeles to pursue his dream of being a police officer for the Los Angeles Police Department. He must navigate the dangerous, humorous, and unpredictable world of a ""young"" cop, determined to make his second shot at life count.",USA Network has ordered a second season of the comedy series The Exes.,
https://www.imdb.com/title/tt3743822/,"Spin off series of The Walking Dead that portrays the beginning events of the zombie apocalypse in the West coast during the same time frame when the city of Atlanta was falling under attack, while Rick was in a coma at the local hospital. It shows how the strain was already in full effect in the south while it's just starting in California.","A new trailer has been released for the spin off series of The Walking Dead that portrays the beginning events of the zombie apocalypse in the West coast during the same time frame when the city of Atlanta was falling under attack, while Rick was in a coma at the local hospital.",
https://www.imdb.com/title/tt5180504/,"The Witcher is an American fantasy drama web television series created by Lauren Schmidt Hissrich for Netflix. It is based on the book series of the same name by Polish writer Andrzej Sapkowski. The Witcher follows the story of Geralt of Rivia, a solitary monster hunter, who struggles to find his place in a world where people often prove more wicked than monsters and beasts. But when destiny hurtles him toward a powerful sorceress, and a young princess with a special gift, the three must learn to navigate independently the increasingly volatile Continent.",All images are copyrighted.,
https://www.imdb.com/title/tt2306299/,"The adventures of a Ragnar Lothbrok: the greatest hero of his age. The series tells the saga of Ragnar's band of Viking brothers and his family as he rises to become King of the Viking tribes. As well as being a fearless warrior, Ragnar embodies the Norse traditions of devotion to the gods: legend has it that he was a direct descendant of Odin, the god of war and warriors.",Watch the first episode of the new series of Vikings on BBC One.,
https://www.imdb.com/title/tt8946378/,"When renowned crime novelist Harlan Thrombey (Christopher Plummer) is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc (Daniel Craig) is mysteriously enlisted to investigate. From Harlan's disfunctional family to his devoted staff, Blanc sifts through a web of red herrings and self-serving lies to uncover the truth behind Harlan's untimely death.","A murder mystery with a twist, starring Daniel Craig and Christopher Plummer.",
https://www.imdb.com/title/tt3230854/,"Two hundred years from now, the solar system's been colonized, and police detective, Josephus Miller's given the assignment of finding a missing woman. Meanwhile, an officer of an ice freighter sees what appears to be an unprovoked attack upon the ship, by a craft from Mars. As news of the attack spreads, the incident's repercussions threaten to destabilize an already tenuous relations between Earth, Mars and the asteroid belt.","Two hundred years from now, the solar system's been, and police detective, Josephus Miller's given the assignment of finding a missing woman. Two hundred years from now, the solar system's been, and police detective, Josephus Miller's given the assignment of finding a missing woman.",
https://www.imdb.com/title/tt4158110/,"Elliot is a brilliant introverted young programmer who works as a cyber-security engineer by day and vigilante hacker by night. He also happens to be suffering from a strange condition similar to schizophrenia which he futilely tries to keep under control by regularly taking both legal and illegal drugs and visiting his therapist. When a strange feisty young woman named Darlene and a secretive middle-aged man calling himself Mr. Robot, who claims to be the mysterious leader of an underground hacking group known as F-Society, offer Elliot a chance to take his vigilantism to the next level and help them take down E-Corp, the corrupt multi-national financial company that Elliot works for and likes to call Evil Corp, Elliot finds himself at the crossroads. Mr. Robot, who has personal reasons for wanting to take down E-Corp, also reveals that he already has one ally, an even more mysterious, secretive and highly dangerous shadowy hacking group known only as Dark Army. Meanwhile, Elliot's childhood and only friend, Angela, who blames E-Corp for the death of their parents, tries to take down E-Corp legally by joining their ranks and trying to dig up evidence of their corruption from the inside. A wild card in this scheme becomes Tyrell Wellick, an unhinged psychopathic E-Corp yuppie, originally from Scandinavia, who has a very unusual relationship with his dominant and ambitious wife Joanna. After many twists and turns, Mr. Robot's plan is finally put in motion - with catastrophic (un)intended results. But that's just the end of the beginning of the real story.","Based on the best-selling series of the same name by Rami Malek, the drama follows Elliot Alderson (Rami Malek) as he tries to take down one of the world's most corrupt financial companies, E-Corp.",
https://www.imdb.com/title/tt8111088/,"After the stories of Jango and Boba Fett, another warrior emerges in the Star Wars universe. The Mandalorian is set after the fall of the Empire and before the emergence of the First Order. We follow the travails of a lone gunfighter in the outer reaches of the galaxy far from the authority of the New Republic.",Star Wars: The Mandalorian is the third film in the Star Wars: The Force Awakens franchise.,
https://www.imdb.com/title/tt2861424/,"An animated series on adult-swim about the infinite adventures of Rick, a genius alcoholic and careless scientist, with his grandson Morty, a 14 year-old anxious boy who is not so smart. Together, they explore the infinite universes; causing mayhem and running into trouble.",All images are copyrighted.,
https://www.imdb.com/title/tt2085059/,"Set in a world only minutes from our own, ""Black Mirror"" unveils how modern technologies can backfire and be used against their makers, every episode set in a slightly different reality with different characters combating different types of technologies.","Charlie Brooker's critically acclaimed new series ""Black Mirror"" has been commissioned by BBC One in the UK.",
https://www.imdb.com/title/tt3006802/,"Follows the story of Claire Randall, a married combat nurse from 1945 who is mysteriously swept back in time to 1743, where she is immediately thrown into an unknown world in which her life is threatened. When she is forced to marry Jamie Fraser, a chivalrous and romantic young Scottish warrior, a passionate relationship is ignited that tears Claire's heart between two vastly different men in two irreconcilable lives.",Based on the best-selling novel of the same name by Hilary Mantel.,
https://www.imdb.com/title/tt6226232/,"It's 1989 and 9-year-old Sheldon Cooper has skipped four grades to start high school along with his less-intellectual older brother. As he struggles to be understood by his family, classmates, and neighbors, his mother arms him with the best tool she: reminding bullies that his dad is the football coach and his brother is on the team. His twin sister doesn't share his exceptional mind, but she has a much clearer vision of what life has in store for the young genius. Jim Parsons, who plays the adult version of Sheldon on The Big Bang Theory (2007), narrates.",The Big Bang Theory's Jim Parsons tells the story of a young genius from the perspective of his family.,
https://www.imdb.com/title/tt7879820/,"On My Block, co-created by Lauren Iungerich (creator of Awkward) and Eddie Gonzalez and Jeremy Haft (All Eyez On Me, Empire), is a coming-of-age comedy about four bright, street-savvy friends navigating their way through the triumph, pain, and newness of high school set in the rough inner city.","On My Block, a new comedy about four bright, street-savvy friends navigating their way through the triumph, pain, and newness of high school set in the rough inner city, has been commissioned by Comedy Central.",
https://www.imdb.com/title/tt4655480/,"An emotional thrill ride through the day-to-day chaos of the city's most explosive hospital and the courageous team of doctors who hold it together. They will tackle unique new cases inspired by topical events, forging fiery relationships in the pulse-pounding pandemonium of the emergency room.",BBC One has commissioned a new drama series about the emergency department at the Royal Victoria Hospital in London.,
https://www.imdb.com/title/tt3032476/,"Before Saul Goodman, he was Jimmy McGill. And if you're calling Jimmy, you're in real trouble. The prequel to ""Breaking Bad"" follows small-time attorney Jimmy McGill as he transforms into Walter White's morally challenged lawyer, Saul Goodman.","a spin-off of ""Breaking Bad"" series, focusing on the story of Saul Goodman, Walter White's lawyer.",1
https://www.imdb.com/title/tt4786824/,"This show focuses on Queen Elizabeth II as a young newlywed faced with leading the world's most famous monarchy, while forging a relationship with legendary Prime Minister Sir Winston Churchill. The British Empire is in decline, the political world is in disarray, but a new era is dawning. Peter Morgan's masterfully researched scripts reveal the Queen's private journey behind the public facade with daring frankness. Prepare to see into the coveted world of power and privilege behind the locked doors of Westminster and Buckingham Palace.",A TV series inspired by life and activities of Queen Elizabeth II. ,1
https://www.imdb.com/title/tt6751668/,"The Kims - mother and father Chung-sook and Ki-taek, and their young adult offspring, son Ki-woo and daughter Ki-jung - are a poor family living in a shabby and cramped half basement apartment in a busy lower working class commercial district of Seoul. Without even knowing it, they, especially Mr. and Mrs. Kim, literally smell of poverty. Often as a collective, they perpetrate minor scams to get by, and even when they have jobs, they do the minimum work required. Ki-woo is the one who has dreams of getting out of poverty by one day going to university. Despite not having that university education, Ki-woo is chosen by his university student friend Min, who is leaving to go to school, to take over his tutoring job to Park Da-hye, who Min plans to date once he returns to Seoul and she herself is in university. The Parks are a wealthy family who for four years have lived in their modernistic house designed by and the former residence of famed architect Namgoong. While Mr. and Mrs. Park are all about status, Mrs. Park has a flighty, simpleminded mentality and temperament, which Min tells Ki-woo to feel comfortable in lying to her about his education to get the job. In getting the job, Ki-woo further learns that Mrs. Park is looking for an art therapist for the Parks' adolescent son, Da-song, Ki-woo quickly recommending his professional art therapist friend ""Jessica"", really Ki-jung who he knows can pull off the scam in being the easiest liar of the four Kims. In Ki-woo also falling for Da-hye, he begins to envision himself in that house, and thus the Kims as a collective start a plan for all the Kims, like Ki-jung using assumed names, to replace existing servants in the Parks' employ in orchestrating reasons for them to be fired. The most difficult to get rid of may be Moon-gwang, the Parks' housekeeper who literally came with the house - she Namgoong's housekeeper when he lived there - and thus knows all the little nooks and crannies of it better than the Parks themselves. The question then becomes how far the Kims can take this scam in their quest to become their version of the Parks.","Based on a true story, the film tells the story of the Kims, a family of four who perpetrate a minor scam to get by.",
https://www.imdb.com/title/tt7817340/,"Dr. Max Goodwin is brilliant, charming -- and the new medical director at America's oldest public hospital. While he's set on tearing down the bureaucracy to provide exceptional care, the doctors and staff are not so sure. They've heard this before, and no one else has delivered on those promises. Not taking ""no"" for an answer, Max disrupts the status quo and proves he will stop at nothing to breathe new life into this understaffed, underfunded and underappreciated hospital -- the only one in the world capable of treating Ebola patients, prisoners from Rikers Island and the president of the United States all under one roof -- and return it to the glory that put it on the map. Inspired by Bellevue in New York City.",New York's Bellevue Hospital is in crisis.,
https://www.imdb.com/title/tt5420376/,"After the death of one of the rich and popular Blossom twins on the 4th of July, the small town of Riverdale investigates the murder. The series starts in September, the beginning of a new school year, that brings with it new students, relationships, and reveals the mysteries of the past 4th of July.",The CW has released the first trailer for the new series Riverdale.,
https://www.imdb.com/title/tt5171438/,"Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien.",Captain James T. Kirk returns to the USS Discovery for the first time since the events of Star Trek: The Wrath of Khan.,
https://www.imdb.com/title/tt5834204/,"A religion-based autocracy has taken over most of the United States, renaming the country Gilead. In this country women are second-class citizens. Anyone trying to escape is punished. One such person is June, who is captured while trying to escape with her husband and child and is sentenced to be a handmaid, bearing children for childless government officials. As a handmaid, June is renamed Offred. This is her story.",This is the story of a woman who was sentenced to be a handmaid.,
https://www.imdb.com/title/tt9174582/,"A six-part comedy series set in Lancashire about the lives of Vinnie (Joseph Gilgun) and Dylan (Damien Molony), who have grown up together and are inseparable. When Dylan's girlfriend wants to move in search of a better life for her and her child, Dylan must face the hardest decision of his life.","A comedy series set about the lives of Vinnie and Dylan, who have grown up together and are inseparable.",1
https://www.imdb.com/title/tt7235466/,"Explores the high-pressure experiences of police, paramedics and firefighters who are thrust into the most frightening, shocking and heart-stopping situations. They must try to balance saving people with solving problems in their own lives."," It's about the high-pressure experiences of police, paramedics and firefighters.",1
https://www.imdb.com/title/tt5071412/,"The Byrdes and their teenage kids, Charlotte and Jonah, are, for all intents and purposes, an ordinary family with ordinary lives. Except for the job of Marty, a Chicago financial advisor who also serves as the top money launderer for the second largest drug cartel in Mexico. When things go awry, Marty must uproot his family from the skyscrapers of Chicago and relocate to the lazy lake region of the Missouri Ozarks.",Marty Byrd and his family move from the Windy City to the lazy lake region of the Missouri.,
https://www.imdb.com/title/tt4477976/,A look at the lives of employees at a big box store.,The BBC News website takes a look at the lives of employees at big box stores.,
https://www.imdb.com/title/tt8772262/,"Dani (Florence Pugh) and Christian (Jack Reynor) are a young American couple with a relationship on the brink of falling apart. But after a family tragedy keeps them together, Christian invites a grieving Dani to join him and his friends on a trip to a once-in-a-lifetime midsummer festival in a remote Swedish village. What begins as a carefree summer holiday in the North European land of eternal sunlight takes a sinister turn when the insular villagers invite their guests to partake in festivities that render the pastoral paradise increasingly unnerving and viscerally disturbing.",A horror film set in a remote Swedish village and starring Jack Reynor and Florence Pugh.,
https://www.imdb.com/title/tt5574490/,"The series centers on 17-year-old Joshua ""J"" Cody, who moves in with his freewheeling relatives in their Southern California beach town after his mother dies of a heroin overdose. Headed by boot-tough matriarch Janine ""Smurf"" Cody and her right-hand Baz, who runs the business and calls the shots, the clan also consists of Pope, the oldest and most dangerous of the Cody boys; Craig, the tough and fearless middle son; and Deran, the troubled, suspicious ""baby"" of the family.","The cast of MTV's reality series ""Codys"" has been announced.",
https://www.imdb.com/title/tt9055008/,"A skeptical female clinical psychologist joins a priest-in-training and a blue-collar contractor as they investigate supposed miracles, demonic possession, and other extraordinary occurrences to see if there's a scientific explanation or if something truly supernatural is at work.",Three strangers from opposite sides of the country come together to investigate a series of strange and unexplainable events in a small town in America.,
https://www.imdb.com/title/tt2805096/,"District 21 of the Chicago Police Department is made up of two distinctly different groups. There are the uniformed cops who patrol the beat and go head-to-head with the city's street crimes. And there's the Intelligence Unit, the team that combats the city's major offenses - organized crime, drug trafficking, high profile murders and beyond.","As part of National Police Week, the Chicago Sun-Times is profiling some of the city's top police officers.",
https://www.imdb.com/title/tt3107288/,"Barry Allen is a Central City police forensic scientist with a reasonably happy life, despite the childhood trauma of a mysterious red and yellow lightning killing his mother and framing his father. All that changes when a massive particle accelerator accident leads to Barry being struck by lightning in his lab. Coming out of coma nine months later, Barry and his new friends at S.T.A.R labs find that he now has the ability to move at superhuman speed. Furthermore, Barry learns that he is but one of many affected by that event, most of whom are using their powers for evil. Determined to make a difference, Barry dedicates his life to fighting such threats, as The Flash. While he gains allies he never expected, there are also secret forces determined to aid and manipulate him for their own agenda.","The Flash is a fast-paced, action-packed drama that tells the story of Barry Allen, the fastest man in the world.",
https://www.imdb.com/title/tt8594324/,A group of spirits restlessly squabble in an abandoned country home.,A group of spirits restlessly squabble in an abandoned country home.,
